날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref,income_type,rule_id
2026-07-13,16:08,지출,생활,편의점,CU 정림동점,-1800,KRW,토스 간편결제,,P0001,P0001-T0441,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00043,,calib:생활/편의점
2026-07-13,14:41,지출,생활,편의점,세븐일레븐,-2600,KRW,토스 간편결제,숙취해소용,P0001,P0001-T0444,소비,P0001-토스페이,efinance/전금-103-토스페이.json#EP0001토00044,,calib:생활/편의점
2026-07-13,13:21,지출,생활,편의점,GS25 탄방동점,-4980,KRW,신한 Deep Dream 체크,,P0001,P0001-T0445,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000198;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000198,,calib:생활/편의점
2026-07-13,11:27,지출,생활,서비스구독,멜론,-4900,KRW,신한 Deep Dream 체크,,P0001,P0001-T0419,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000183;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000183,,fixed:구독
2026-07-13,10:05,이체,저축,예적금/청약,국민은행 KB 청년도약계좌,-30000,KRW,하나핀크 생활통장,,P0001,P0001-T0421,저축,P0001-BANK-MAIN->P0001-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P0001-BANK-MAIN.json#BP000100136;bank/은행-004-국민은행_KB_청년도약계좌_P0001-BANK-SAVE.json#BP000100034,,savings:정기
2026-07-12,12:45,지출,교육/학습,학원/강의,탄방동수학학원,-88100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0427,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000187;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000187,,triangular:학원/강의
2026-07-11,18:31,지출,문화/여가,도서,둔산동책방,-22600,KRW,신한 Deep Dream 체크,,P0001,P0001-T0422,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000184;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000184,,triangular:도서
2026-07-10,22:38,지출,뷰티/미용,화장품,가수원동뷰티샵,-32700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0431,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000191;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000191,,triangular:화장품
2026-07-10,19:48,지출,교육/학습,학원/강의,패스트캠퍼스,-30000,KRW,신한 Deep Dream 체크,,P0001,P0001-T0429,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000189;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000189,,triangular:학원/강의
2026-07-10,18:39,지출,의료/건강,약국,관저동약국,-39300,KRW,네이버페이 간편결제,,P0001,P0001-T0448,소비,P0001-네이버페이,efinance/전금-103-네이버페이.json#EP0001네00041;efinance/전금-004-네이버페이_머니.json#WP000100017,,calib:의료/건강/약국
2026-07-09,14:05,지출,뷰티/미용,화장품,정림동코스메틱스토어,-28700,KRW,신한 Deep Dream 체크,,P0001,P0001-T0424,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000185;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000185,,triangular:화장품
2026-07-09,13:02,지출,의료/건강,약국,도마동행복약국,-22000,KRW,카카오페이 간편결제,상비약 채우기,P0001,P0001-T0447,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00026,,calib:의료/건강/약국
2026-07-09,11:28,지출,문화/여가,도서,밀리의서재,-43100,KRW,신한 Deep Dream 체크,,P0001,P0001-T0430,소비,P0001-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP0001000190;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP0001000190,,triangular:도서
2026-07-06,21:08,지출,온라인쇼핑,인터넷쇼핑,번개장터,-75224,KRW,카카오페이 간편결제,,P0001,P0001-T0440,소비,P0001-카카오페이,efinance/전금-103-카카오페이.json#EP0001카00025,,calib:온라인쇼핑/인터넷쇼핑
